tempo,origem,destino,msg_id,delivered,forward_util
2750,1,8,1-2-1,0,1
4540,1,6,1-2-1,0,1
4700,1,4,1-2-1,0,1
4705,6,8,1-2-1,0,0
4705,8,6,1-2-1,0,0
5290,4,6,1-2-1,0,0
5290,6,4,1-2-1,0,0
6880,6,3,1-2-1,0,1
7075,4,8,1-2-1,0,0
7075,8,4,1-2-1,0,0
7105,4,8,1-2-1,0,0
7105,8,4,1-2-1,0,0
7340,8,6,1-2-1,0,0
7345,6,8,1-2-1,0,0
8965,3,7,1-2-1,0,1
9215,6,5,1-2-1,0,1
9670,8,4,1-2-1,0,0
9675,4,8,1-2-1,0,0
9815,3,1,1-2-1,0,0
9820,1,3,1-2-1,0,0
9890,1,7,1-2-1,0,0
9890,7,1,1-2-1,0,0
10150,4,2,1-2-1,1,1
10610,8,2,1-2-1,0,0
11005,5,2,1-2-1,0,0
11085,3,5,1-2-1,0,0
12005,6,2,1-2-1,0,0
12195,1,6,1-2-1,0,0
14560,3,5,1-2-1,0,0
14740,7,3,1-2-1,0,0
14745,3,7,1-2-1,0,0
15340,3,4,1-2-1,0,0
15860,3,5,1-2-1,0,0
15910,7,1,1-2-1,0,0
15915,1,7,1-2-1,0,0
16005,7,8,1-2-1,0,0
16300,1,5,1-2-1,0,0
16495,7,6,1-2-1,0,0
19815,7,3,1-2-1,0,0
19985,3,5,1-2-1,0,0
20065,7,5,1-2-1,0,0
20210,7,3,1-2-1,0,0
20215,3,7,1-2-1,0,0
20755,7,6,1-2-1,0,0
21640,3,7,1-2-1,0,0
21640,7,3,1-2-1,0,0
21745,3,2,1-2-1,0,0
23735,7,8,1-2-1,0,0
24045,1,5,1-2-1,0,0
24740,1,3,1-2-1,0,0
25985,1,8,1-2-1,0,0
26665,7,6,1-2-1,0,0
27090,1,2,1-2-1,0,0
27250,7,3,1-2-1,0,0
29965,7,3,1-2-1,0,0
30765,7,4,1-2-1,0,0
32245,7,4,1-2-1,0,0
35580,7,4,1-2-1,0,0
36015,7,2,1-2-1,0,0
