tempo,origem,destino,msg_id,delivered,forward_util,source_file,msg_num,source_num,msg_forward_count_before,origem_forward_count_before,destino_receive_count_before,pair_count_before,msg_age,unique_receivers_before
385,1,8,1-2-1,0,1,r1.csv,0,0,0,0,0,0,0,0
555,1,6,1-2-1,0,1,r1.csv,0,0,1,1,0,0,170,1
1965,8,3,1-2-1,0,1,r1.csv,0,0,2,0,0,0,1580,2
1970,8,5,1-2-1,0,1,r1.csv,0,0,3,1,0,0,1585,3
1975,5,8,1-2-1,0,0,r1.csv,0,0,4,0,1,0,1590,4
2055,3,1,1-2-1,0,0,r1.csv,0,0,5,0,0,0,1670,4
2060,1,3,1-2-1,0,0,r1.csv,0,0,6,2,1,0,1675,5
2525,1,2,1-2-1,1,1,r1.csv,0,0,7,3,0,0,2140,5
3415,6,2,1-2-1,0,0,r1.csv,0,0,8,0,1,0,3030,6
3740,8,3,1-2-1,0,0,r1.csv,0,0,9,2,2,1,3355,6
3745,3,8,1-2-1,0,0,r1.csv,0,0,10,1,2,0,3360,6
3950,3,6,1-2-1,0,0,r1.csv,0,0,11,2,1,0,3565,6
3970,5,1,1-2-1,0,0,r1.csv,0,0,12,1,1,0,3585,6
4530,8,4,1-2-1,0,1,r1.csv,0,0,13,3,0,0,4145,6
4535,4,8,1-2-1,0,0,r1.csv,0,0,14,0,3,0,4150,7
4600,8,1,1-2-1,0,0,r1.csv,0,0,15,4,2,0,4215,7
5250,5,4,1-2-1,0,0,r1.csv,0,0,16,2,1,0,4865,7
5255,4,5,1-2-1,0,0,r1.csv,0,0,17,1,1,0,4870,7
6640,8,5,1-2-1,0,0,r1.csv,0,0,18,5,2,1,6255,7
6645,5,8,1-2-1,0,0,r1.csv,0,0,19,3,4,1,6260,7
6910,4,7,1-2-1,0,1,r1.csv,0,0,20,2,0,0,6525,7
7185,8,4,1-2-1,0,0,r1.csv,0,0,21,6,2,1,6800,8
7195,4,8,1-2-1,0,0,r1.csv,0,0,22,3,5,1,6810,8
7580,4,2,1-2-1,0,0,r1.csv,0,0,23,4,2,0,7195,8
7955,3,5,1-2-1,0,0,r1.csv,0,0,24,3,3,0,7570,8
7955,5,3,1-2-1,0,0,r1.csv,0,0,25,4,3,0,7570,8
8105,3,2,1-2-1,0,0,r1.csv,0,0,26,4,3,0,7720,8
9390,8,3,1-2-1,0,0,r1.csv,0,0,27,7,4,2,9005,8
9650,7,4,1-2-1,0,0,r1.csv,0,0,28,0,3,0,9265,8
9760,7,1,1-2-1,0,0,r1.csv,0,0,29,1,3,0,9375,8
10265,7,3,1-2-1,0,0,r1.csv,0,0,30,2,5,0,9880,8
10745,8,6,1-2-1,0,0,r1.csv,0,0,31,8,2,0,10360,8
12230,5,6,1-2-1,0,0,r1.csv,0,0,32,5,3,0,11845,8
12295,5,4,1-2-1,0,0,r1.csv,0,0,33,6,4,1,11910,8
14105,5,1,1-2-1,0,0,r1.csv,0,0,34,7,4,1,13720,8
14330,7,6,1-2-1,0,0,r1.csv,0,0,35,3,4,0,13945,8
14595,7,2,1-2-1,0,0,r1.csv,0,0,36,4,4,0,14210,8
15275,5,3,1-2-1,0,0,r1.csv,0,0,37,8,6,1,14890,8
