tempo,origem,destino,msg_id,delivered,forward_util,source_file
385,1,8,1-2-1,0,1,r1.csv
555,1,6,1-2-1,0,1,r1.csv
1965,8,3,1-2-1,0,1,r1.csv
1970,8,5,1-2-1,0,1,r1.csv
1975,5,8,1-2-1,0,0,r1.csv
2055,3,1,1-2-1,0,0,r1.csv
2060,1,3,1-2-1,0,0,r1.csv
2525,1,2,1-2-1,1,1,r1.csv
3415,6,2,1-2-1,0,0,r1.csv
3740,8,3,1-2-1,0,0,r1.csv
3745,3,8,1-2-1,0,0,r1.csv
3950,3,6,1-2-1,0,0,r1.csv
3970,5,1,1-2-1,0,0,r1.csv
4530,8,4,1-2-1,0,1,r1.csv
4535,4,8,1-2-1,0,0,r1.csv
4600,8,1,1-2-1,0,0,r1.csv
5250,5,4,1-2-1,0,0,r1.csv
5255,4,5,1-2-1,0,0,r1.csv
6640,8,5,1-2-1,0,0,r1.csv
6645,5,8,1-2-1,0,0,r1.csv
6910,4,7,1-2-1,0,1,r1.csv
7185,8,4,1-2-1,0,0,r1.csv
7195,4,8,1-2-1,0,0,r1.csv
7580,4,2,1-2-1,0,0,r1.csv
7955,3,5,1-2-1,0,0,r1.csv
7955,5,3,1-2-1,0,0,r1.csv
8105,3,2,1-2-1,0,0,r1.csv
9390,8,3,1-2-1,0,0,r1.csv
9650,7,4,1-2-1,0,0,r1.csv
9760,7,1,1-2-1,0,0,r1.csv
10265,7,3,1-2-1,0,0,r1.csv
10745,8,6,1-2-1,0,0,r1.csv
12230,5,6,1-2-1,0,0,r1.csv
12295,5,4,1-2-1,0,0,r1.csv
14105,5,1,1-2-1,0,0,r1.csv
14330,7,6,1-2-1,0,0,r1.csv
14595,7,2,1-2-1,0,0,r1.csv
15275,5,3,1-2-1,0,0,r1.csv
15640,8,2,1-2-1,0,0,r1.csv
18710,5,4,1-2-1,0,0,r1.csv
19560,5,3,1-2-1,0,0,r1.csv
22765,5,7,1-2-1,0,0,r1.csv
24710,5,1,1-2-1,0,0,r1.csv
26005,5,6,1-2-1,0,0,r1.csv
26990,5,4,1-2-1,0,0,r1.csv
27410,5,6,1-2-1,0,0,r1.csv
29390,5,8,1-2-1,0,0,r1.csv
31610,5,1,1-2-1,0,0,r1.csv
33035,5,2,1-2-1,0,0,r1.csv
7320,1,3,1-2-1,0,1,r10.csv
7645,3,2,1-2-1,1,1,r10.csv
9060,1,2,1-2-1,0,0,r10.csv
2950,1,7,1-2-1,0,1,r100.csv
3085,1,8,1-2-1,0,1,r100.csv
4265,8,5,1-2-1,0,1,r100.csv
4270,5,8,1-2-1,0,0,r100.csv
4645,1,6,1-2-1,0,1,r100.csv
4990,6,3,1-2-1,0,1,r100.csv
4995,3,6,1-2-1,0,0,r100.csv
5145,5,8,1-2-1,0,0,r100.csv
5165,3,1,1-2-1,0,0,r100.csv
5170,1,3,1-2-1,0,0,r100.csv
5305,5,2,1-2-1,1,1,r100.csv
5390,8,6,1-2-1,0,0,r100.csv
5395,6,8,1-2-1,0,0,r100.csv
5655,6,5,1-2-1,0,0,r100.csv
6105,1,2,1-2-1,0,0,r100.csv
6145,7,4,1-2-1,0,1,r100.csv
6150,4,7,1-2-1,0,0,r100.csv
6405,8,3,1-2-1,0,0,r100.csv
6410,3,8,1-2-1,0,0,r100.csv
6470,8,4,1-2-1,0,0,r100.csv
6540,4,3,1-2-1,0,0,r100.csv
6555,3,4,1-2-1,0,0,r100.csv
6945,8,5,1-2-1,0,0,r100.csv
7250,3,6,1-2-1,0,0,r100.csv
7250,6,3,1-2-1,0,0,r100.csv
8330,8,5,1-2-1,0,0,r100.csv
8680,6,1,1-2-1,0,0,r100.csv
9150,3,8,1-2-1,0,0,r100.csv
9155,8,3,1-2-1,0,0,r100.csv
9305,3,8,1-2-1,0,0,r100.csv
9305,8,3,1-2-1,0,0,r100.csv
9315,7,6,1-2-1,0,0,r100.csv
9320,6,7,1-2-1,0,0,r100.csv
9370,6,2,1-2-1,0,0,r100.csv
10480,3,2,1-2-1,0,0,r100.csv
10755,7,6,1-2-1,0,0,r100.csv
10870,7,5,1-2-1,0,0,r100.csv
11445,8,1,1-2-1,0,0,r100.csv
12450,7,4,1-2-1,0,0,r100.csv
12455,4,7,1-2-1,0,0,r100.csv
12535,4,1,1-2-1,0,0,r100.csv
12570,7,1,1-2-1,0,0,r100.csv
13390,7,6,1-2-1,0,0,r100.csv
13700,4,2,1-2-1,0,0,r100.csv
14055,8,4,1-2-1,0,0,r100.csv
14725,8,3,1-2-1,0,0,r100.csv
14790,7,3,1-2-1,0,0,r100.csv
15950,7,4,1-2-1,0,0,r100.csv
16985,7,2,1-2-1,0,0,r100.csv
17170,8,6,1-2-1,0,0,r100.csv
20870,8,4,1-2-1,0,0,r100.csv
20935,8,1,1-2-1,0,0,r100.csv
21545,8,2,1-2-1,0,0,r100.csv
1730,1,7,1-2-1,0,1,r101.csv
1770,1,7,1-2-1,0,0,r101.csv
2165,7,1,1-2-1,0,0,r101.csv
2170,1,7,1-2-1,0,0,r101.csv
4415,7,2,1-2-1,1,1,r101.csv
6915,1,6,1-2-1,0,1,r101.csv
9025,1,2,1-2-1,0,0,r101.csv
9980,6,2,1-2-1,0,0,r101.csv
285,1,2,1-2-1,1,1,r102.csv
855,1,7,1-2-1,0,1,r103.csv
1010,7,6,1-2-1,0,1,r103.csv
1085,1,6,1-2-1,0,0,r103.csv
1085,6,1,1-2-1,0,0,r103.csv
1365,1,7,1-2-1,0,0,r103.csv
1365,7,1,1-2-1,0,0,r103.csv
1495,6,5,1-2-1,0,1,r103.csv
1650,7,3,1-2-1,0,1,r103.csv
2220,1,2,1-2-1,1,1,r103.csv
2665,6,4,1-2-1,0,1,r103.csv
2670,4,6,1-2-1,0,0,r103.csv
2755,4,7,1-2-1,0,0,r103.csv
2755,7,4,1-2-1,0,0,r103.csv
2890,6,2,1-2-1,0,0,r103.csv
3085,5,2,1-2-1,0,0,r103.csv
3605,3,2,1-2-1,0,0,r103.csv
4160,4,6,1-2-1,0,0,r103.csv
4355,4,5,1-2-1,0,0,r103.csv
5665,4,2,1-2-1,0,0,r103.csv
12410,7,8,1-2-1,0,1,r103.csv
12450,8,5,1-2-1,0,0,r103.csv
12480,7,4,1-2-1,0,0,r103.csv
12875,8,2,1-2-1,0,0,r103.csv
13700,7,6,1-2-1,0,0,r103.csv
13750,7,1,1-2-1,0,0,r103.csv
14370,7,1,1-2-1,0,0,r103.csv
14705,7,5,1-2-1,0,0,r103.csv
14990,7,2,1-2-1,0,0,r103.csv
1370,1,6,1-2-1,0,1,r104.csv
1455,6,8,1-2-1,0,1,r104.csv
1620,6,7,1-2-1,0,1,r104.csv
2670,6,2,1-2-1,1,1,r104.csv
3015,8,6,1-2-1,0,0,r104.csv
3120,1,4,1-2-1,0,1,r104.csv
3245,8,5,1-2-1,0,1,r104.csv
3330,8,2,1-2-1,0,0,r104.csv
4360,4,3,1-2-1,0,1,r104.csv
4365,3,4,1-2-1,0,0,r104.csv
4430,3,2,1-2-1,0,0,r104.csv
4460,4,6,1-2-1,0,0,r104.csv
4535,7,4,1-2-1,0,0,r104.csv
