tempo,origem,destino,msg_id,delivered
430,1,3,1-2-1,0
445,1,2,1-2-1,1
1070,3,11,1-2-1,0
1600,3,6,1-2-1,0
1640,11,20,1-2-1,0
1650,3,15,1-2-1,0
2055,15,18,1-2-1,0
2485,20,13,1-2-1,0
2495,13,20,1-2-1,0
2505,3,7,1-2-1,0
2575,11,4,1-2-1,0
2585,18,16,1-2-1,0
2590,16,18,1-2-1,0
2600,18,8,1-2-1,0
2605,8,18,1-2-1,0
2640,4,19,1-2-1,0
2705,3,10,1-2-1,0
2860,6,12,1-2-1,0
2865,18,13,1-2-1,0
2870,13,18,1-2-1,0
3055,13,4,1-2-1,0
3060,4,13,1-2-1,0
3130,19,17,1-2-1,0
3135,17,19,1-2-1,0
3165,6,14,1-2-1,0
3190,4,5,1-2-1,0
3230,13,16,1-2-1,0
3285,16,10,1-2-1,0
3290,10,16,1-2-1,0
3495,6,20,1-2-1,0
3495,20,6,1-2-1,0
3500,12,4,1-2-1,0
3510,4,12,1-2-1,0
3570,6,9,1-2-1,0
3605,14,4,1-2-1,0
3610,4,14,1-2-1,0
3635,9,20,1-2-1,0
3635,20,9,1-2-1,0
3645,19,18,1-2-1,0
3650,18,19,1-2-1,0
3705,18,7,1-2-1,0
3710,7,18,1-2-1,0
3715,16,5,1-2-1,0
3720,5,16,1-2-1,0
3795,17,4,1-2-1,0
3800,4,17,1-2-1,0
3830,7,15,1-2-1,0
3830,15,7,1-2-1,0
3875,12,13,1-2-1,0
3875,13,12,1-2-1,0
3900,16,2,1-2-1,0
3935,18,17,1-2-1,0
3940,17,18,1-2-1,0
3985,10,4,1-2-1,0
3990,4,10,1-2-1,0
4005,15,18,1-2-1,0
4005,18,15,1-2-1,0
4010,9,17,1-2-1,0
4010,17,9,1-2-1,0
4030,5,1,1-2-1,0
4080,18,9,1-2-1,0
4085,9,18,1-2-1,0
4100,11,18,1-2-1,0
4100,18,11,1-2-1,0
4185,4,9,1-2-1,0
4185,9,4,1-2-1,0
4200,19,17,1-2-1,0
4205,17,19,1-2-1,0
4240,9,1,1-2-1,0
4450,20,5,1-2-1,0
4455,5,20,1-2-1,0
4475,19,18,1-2-1,0
4480,18,19,1-2-1,0
4495,12,14,1-2-1,0
4500,14,12,1-2-1,0
4525,8,20,1-2-1,0
4525,20,8,1-2-1,0
4540,5,19,1-2-1,0
4540,19,5,1-2-1,0
4620,4,17,1-2-1,0
4620,17,4,1-2-1,0
4645,17,1,1-2-1,0
4655,19,2,1-2-1,0
4720,3,5,1-2-1,0
4720,5,3,1-2-1,0
4790,4,1,1-2-1,0
4830,14,8,1-2-1,0
4835,8,14,1-2-1,0
4885,9,12,1-2-1,0
4885,12,9,1-2-1,0
5065,20,16,1-2-1,0
5075,12,6,1-2-1,0
5080,6,12,1-2-1,0
5160,8,19,1-2-1,0
5185,13,11,1-2-1,0
5185,14,19,1-2-1,0
5230,5,8,1-2-1,0
5230,8,5,1-2-1,0
5290,11,19,1-2-1,0
5290,13,1,1-2-1,0
5355,6,16,1-2-1,0
5370,5,19,1-2-1,0
5535,10,14,1-2-1,0
5535,14,10,1-2-1,0
5560,10,12,1-2-1,0
5560,12,10,1-2-1,0
5610,15,4,1-2-1,0
5615,4,15,1-2-1,0
5645,8,1,1-2-1,0
5665,7,15,1-2-1,0
5665,15,7,1-2-1,0
5935,12,8,1-2-1,0
5940,8,12,1-2-1,0
6210,5,20,1-2-1,0
6210,20,5,1-2-1,0
6240,3,9,1-2-1,0
6240,9,3,1-2-1,0
6275,15,19,1-2-1,0
6370,8,19,1-2-1,0
6385,5,4,1-2-1,0
6390,4,5,1-2-1,0
6415,5,20,1-2-1,0
6425,8,15,1-2-1,0
6425,15,8,1-2-1,0
6440,17,14,1-2-1,0
6445,14,17,1-2-1,0
6505,4,13,1-2-1,0
6505,13,4,1-2-1,0
6550,15,1,1-2-1,0
6630,14,5,1-2-1,0
6635,5,14,1-2-1,0
6745,5,17,1-2-1,0
6745,17,5,1-2-1,0
6860,18,16,1-2-1,0
6990,6,18,1-2-1,0
6990,18,6,1-2-1,0
7005,13,15,1-2-1,0
7005,15,13,1-2-1,0
7150,12,1,1-2-1,0
7300,17,13,1-2-1,0
7305,13,17,1-2-1,0
7345,18,1,1-2-1,0
7380,4,2,1-2-1,0
7405,9,16,1-2-1,0
7410,12,19,1-2-1,0
7540,13,18,1-2-1,0
7540,18,13,1-2-1,0
7575,14,20,1-2-1,0
7575,20,14,1-2-1,0
7630,10,15,1-2-1,0
7630,15,10,1-2-1,0
7720,9,19,1-2-1,0
7735,8,6,1-2-1,0
7740,6,8,1-2-1,0
7780,18,14,1-2-1,0
7785,14,18,1-2-1,0
7860,3,7,1-2-1,0
7860,7,3,1-2-1,0
7925,14,16,1-2-1,0
7950,17,2,1-2-1,0
7970,11,4,1-2-1,0
7980,8,2,1-2-1,0
7980,13,14,1-2-1,0
7980,14,13,1-2-1,0
8060,12,14,1-2-1,0
8060,14,12,1-2-1,0
8065,13,12,1-2-1,0
8070,12,13,1-2-1,0
8115,18,16,1-2-1,0
8190,3,13,1-2-1,0
8190,13,3,1-2-1,0
8240,15,11,1-2-1,0
8245,11,15,1-2-1,0
8295,14,4,1-2-1,0
8375,13,9,1-2-1,0
8395,9,13,1-2-1,0
8475,5,19,1-2-1,0
8585,15,5,1-2-1,0
8590,5,15,1-2-1,0
8690,9,18,1-2-1,0
8690,18,9,1-2-1,0
8700,10,4,1-2-1,0
8770,15,17,1-2-1,0
9030,5,6,1-2-1,0
9030,6,5,1-2-1,0
9120,18,14,1-2-1,0
9125,14,18,1-2-1,0
9165,15,2,1-2-1,0
9390,13,8,1-2-1,0
9430,7,11,1-2-1,0
9430,11,7,1-2-1,0
9430,14,4,1-2-1,0
9560,5,14,1-2-1,0
9560,14,5,1-2-1,0
9600,3,10,1-2-1,0
