tempo,origem,destino,msg_id,delivered
85,1,17,1-2-1,0
90,17,1,1-2-1,0
165,17,5,1-2-1,0
170,1,5,1-2-1,0
315,5,14,1-2-1,0
315,17,8,1-2-1,0
320,8,17,1-2-1,0
335,1,20,1-2-1,0
395,17,12,1-2-1,0
410,17,4,1-2-1,0
425,4,12,1-2-1,0
425,12,4,1-2-1,0
450,17,15,1-2-1,0
465,15,12,1-2-1,0
470,12,15,1-2-1,0
475,20,9,1-2-1,0
480,9,20,1-2-1,0
625,17,7,1-2-1,0
630,7,17,1-2-1,0
800,7,11,1-2-1,0
905,20,16,1-2-1,0
920,11,9,1-2-1,0
925,9,11,1-2-1,0
1125,1,6,1-2-1,0
1125,12,13,1-2-1,0
1270,5,10,1-2-1,0
1355,8,3,1-2-1,0
1360,3,8,1-2-1,0
1375,17,2,1-2-1,1
1430,16,11,1-2-1,0
1435,11,16,1-2-1,0
1440,20,3,1-2-1,0
1445,3,20,1-2-1,0
1455,20,8,1-2-1,0
1460,8,20,1-2-1,0
1475,6,16,1-2-1,0
1475,16,6,1-2-1,0
1565,20,16,1-2-1,0
1570,16,20,1-2-1,0
1610,8,20,1-2-1,0
1610,20,8,1-2-1,0
1645,4,8,1-2-1,0
1645,4,20,1-2-1,0
1645,8,4,1-2-1,0
1645,20,4,1-2-1,0
1705,11,6,1-2-1,0
1710,6,11,1-2-1,0
1715,16,3,1-2-1,0
1720,3,16,1-2-1,0
1795,3,19,1-2-1,0
1805,16,19,1-2-1,0
1805,19,16,1-2-1,0
1835,7,11,1-2-1,0
1835,11,7,1-2-1,0
2005,20,16,1-2-1,0
2010,16,20,1-2-1,0
2020,1,9,1-2-1,0
2020,9,1,1-2-1,0
2040,8,12,1-2-1,0
2040,12,8,1-2-1,0
2080,6,16,1-2-1,0
2080,16,6,1-2-1,0
2125,12,18,1-2-1,0
2165,3,17,1-2-1,0
2260,14,6,1-2-1,0
2265,6,14,1-2-1,0
2300,5,8,1-2-1,0
2300,8,5,1-2-1,0
2310,3,18,1-2-1,0
2310,18,3,1-2-1,0
2325,15,9,1-2-1,0
2330,9,15,1-2-1,0
2350,12,2,1-2-1,0
2370,3,19,1-2-1,0
2370,19,3,1-2-1,0
2400,10,16,1-2-1,0
2400,16,10,1-2-1,0
2485,20,1,1-2-1,0
2500,4,2,1-2-1,0
2500,10,4,1-2-1,0
2505,1,20,1-2-1,0
2515,6,13,1-2-1,0
2515,13,6,1-2-1,0
2570,14,17,1-2-1,0
2625,14,17,1-2-1,0
2720,5,3,1-2-1,0
2725,3,17,1-2-1,0
2725,7,3,1-2-1,0
2725,7,17,1-2-1,0
2730,3,5,1-2-1,0
2730,3,7,1-2-1,0
2750,14,7,1-2-1,0
2755,5,17,1-2-1,0
2755,5,7,1-2-1,0
2755,7,5,1-2-1,0
2755,7,14,1-2-1,0
2815,1,8,1-2-1,0
2815,8,1,1-2-1,0
2835,8,19,1-2-1,0
2835,19,8,1-2-1,0
2840,19,1,1-2-1,0
